source,target,isSourceSelected,isTargetSelected,frequency
adobo,ale,0,0,0
adobo,alfredo sauce,0,0,1
adobo,allspice,0,0,10
adobo,almond,0,0,0
adobo,almond extract,0,0,0
adobo,almonds,0,0,3
adobo,amaretto,0,0,0
adobo,apple,0,0,3
adobo,apple juice,0,0,0
adobo,applesauce,0,0,0
adobo,apricot,0,0,0
adobo,apricots,0,0,0
adobo,artichoke hearts,0,0,0
adobo,arugula,0,0,1
adobo,asparagus,0,0,1
adobo,avocado,0,0,34
adobo,bacon,0,0,18
adobo,bacon bits,0,0,0
adobo,bags,0,0,0
adobo,baguette,0,0,0
adobo,baking powder,0,0,4
adobo,banana,0,0,0
adobo,barbecue sauce,0,0,10
adobo,barley,0,0,1
adobo,basil,0,0,6
adobo,bean,0,0,60
adobo,beef,0,0,23
adobo,beef bouillon cube,0,0,0
adobo,beef stock,0,0,3
adobo,beer,0,0,13
adobo,beets,0,0,0
adobo,berries,0,0,1
adobo,biscuits,0,0,1
adobo,bisquick,0,0,0
adobo,bisquick baking mix,0,0,0
adobo,blackberries,0,0,0
adobo,blueberries,0,0,1
adobo,boneless chicken breast,0,0,3
adobo,boneless skinless chicken breast,0,0,19
adobo,bouillon,0,0,1
adobo,bourbon,0,0,2
adobo,bran,0,0,0
adobo,brandy,0,0,0
adobo,bread,0,0,10
adobo,breadcrumb,0,0,14
adobo,brisket,0,0,5
adobo,broccoli,0,0,2
adobo,broth,0,0,44
adobo,browns,0,0,0
adobo,buns,0,0,8
adobo,butter,0,0,54
adobo,buttermilk,0,0,4
adobo,butternut squash,0,0,1
adobo,cabbage,0,0,11
adobo,cacao,0,0,0
adobo,cajun seasoning,0,0,1
adobo,cake,0,0,0
adobo,candies,0,0,0
adobo,capers,0,0,0
adobo,capsicum,0,0,0
adobo,cardamom,0,0,1
adobo,carrot,0,0,17
adobo,cashews,0,0,1
adobo,catsup,0,0,2
adobo,cauliflower,0,0,2
adobo,cayenne,0,0,4
adobo,celery,0,0,14
adobo,cereal,0,0,0
adobo,cheese,0,0,99
adobo,cherry,0,0,2
adobo,chestnuts,0,0,0
adobo,chicken,0,0,18
adobo,chicken bouillon cube,0,0,1
adobo,chicken breast,0,0,6
adobo,chicken pieces,0,0,0
adobo,chicken stock,0,0,10
adobo,chickpeas,0,0,4
adobo,chile,0,0,3
adobo,chili,0,0,17
adobo,chili powder,0,0,49
adobo,chili sauce,0,0,3
adobo,chip,0,0,0
adobo,chips,0,0,9
adobo,chives,0,0,0
adobo,chocolate,0,0,5
adobo,chops,0,0,2
adobo,choy,0,0,1
adobo,chuck,0,0,3
adobo,chunks,0,0,1
adobo,chutney,0,0,0
adobo,cider,0,0,1
adobo,cilantro,0,0,110
adobo,cinnamon,0,0,17
adobo,clams,0,0,0
adobo,clove,0,0,141
adobo,cocoa,0,0,0
adobo,cocoa powder,0,0,1
adobo,coconut,0,0,0
adobo,coffee,0,0,2
adobo,concentrate,0,0,2
adobo,condensed cream of chicken soup,0,0,2
adobo,condensed cream of mushroom soup,0,0,1
adobo,cooked chicken breast,0,0,1
adobo,cookies,0,0,0
adobo,cooking spray,0,0,4
adobo,coriander,0,0,9
adobo,coriander powder,0,0,0
adobo,corn,0,0,27
adobo,corn flakes,0,0,0
adobo,cornflour,0,0,0
adobo,cornmeal,0,0,10
adobo,cornstarch,0,0,4
adobo,couscous,0,0,0
adobo,crabmeat,0,0,2
adobo,cracker,0,0,0
adobo,cranberries,0,0,2
adobo,cranberry juice,0,0,0
adobo,cream,0,0,2
adobo,cream of celery soup,0,0,0
adobo,cream of chicken soup,0,0,0
adobo,cream of mushroom soup,0,0,0
adobo,creamer,0,0,0
adobo,creole seasoning,0,0,2
adobo,crisco,0,0,0
adobo,crumb,0,0,0
adobo,crushed red pepper flakes,0,0,3
adobo,cucumber,0,0,5
adobo,cumin,0,0,96
adobo,cumin powder,0,0,3
adobo,currants,0,0,0
adobo,curry powder,0,0,1
adobo,dates,0,0,0
adobo,dill,0,0,0
adobo,dogs,0,0,0
adobo,dough,0,0,2
adobo,dried italian seasoning,0,0,0
adobo,dried onion flakes,0,0,1
adobo,dried parsley flakes,0,0,0
adobo,dry onion soup mix,0,0,0
adobo,egg,0,0,23
adobo,egg substitute,0,0,0
adobo,egg white,0,0,0
adobo,eggplant,0,0,0
adobo,enchilada sauce,0,0,0
adobo,espresso,0,0,0
adobo,fat,0,0,0
adobo,fat free sour cream,0,0,1
adobo,feta,0,0,1
adobo,fettuccine,0,0,1
adobo,fillet,0,0,6
adobo,filling,0,0,0
adobo,fish sauce,0,0,0
adobo,floret,0,0,0
adobo,florets,0,0,0
adobo,flour,0,0,22
adobo,fraiche,0,0,3
adobo,fresh lemon juice,0,0,6
adobo,fresh lemon rind,0,0,0
adobo,fresh lime juice,0,0,34
adobo,fresh orange juice,0,0,2
adobo,frosting,0,0,0
adobo,frozen whipped topping,0,0,0
adobo,fruit,0,0,0
adobo,garlic,0,0,58
adobo,garlic powder,0,0,14
adobo,gelatin,0,0,0
adobo,ghee,0,0,0
adobo,ginger,0,0,7
adobo,gingerroot,0,0,0
adobo,gorgonzola,0,0,0
adobo,graham cracker crumbs,0,0,0
adobo,granular,0,0,0
adobo,granules,0,0,1
adobo,grapes,0,0,0
adobo,gravy,0,0,0
adobo,green food coloring,0,0,0
adobo,greens,0,0,1
adobo,grenadine,0,0,0
adobo,guacamole,0,0,2
adobo,gum,0,0,0
adobo,half-and-half,0,0,5
adobo,half-and-half cream,0,0,0
adobo,halves,0,0,7
adobo,ham,0,0,1
adobo,hamburger,0,0,1
adobo,hazelnuts,0,0,0
adobo,heavy cream,0,0,11
adobo,heavy whipping cream,0,0,0
adobo,herbs,0,0,0
adobo,hoisin sauce,0,0,1
adobo,honey,0,0,48
adobo,horseradish,0,0,1
adobo,hot pepper sauce,0,0,0
adobo,hot sauce,0,0,6
adobo,ice,0,0,0
adobo,ice cube,0,0,1
adobo,italian dressing,0,0,0
adobo,italian salad dressing,0,0,0
adobo,italian seasoning,0,0,1
adobo,jalapeno,0,0,17
adobo,jam,0,0,0
adobo,jelly,0,0,1
adobo,juice and zest of,0,0,5
adobo,juice of,0,0,16
adobo,kahlua,0,0,0
adobo,kale,0,0,0
adobo,ketchup,0,0,19
adobo,kielbasa,0,0,2
adobo,krispies,0,0,0
adobo,lamb,0,0,0
adobo,lard,0,0,1
adobo,leaf,0,0,35
adobo,leave,0,0,0
adobo,leek,0,0,4
adobo,lemon,0,0,3
adobo,lemon extract,0,0,0
adobo,lemon juice,0,0,5
adobo,lemon peel,0,0,0
adobo,lemon rind,0,0,0
adobo,lemon slice,0,0,0
adobo,lemongrass,0,0,0
adobo,lentils,0,0,0
adobo,lettuce,0,0,18
adobo,light cream,0,0,0
adobo,light sour cream,0,0,1
adobo,light soy sauce,0,0,0
adobo,lime,0,0,37
adobo,lime juice,0,0,32
adobo,linguine,0,0,1
adobo,liqueur,0,0,1
adobo,liquid smoke,0,0,8
adobo,loin,0,0,1
adobo,low sodium soy sauce,0,0,0
adobo,low-fat sour cream,0,0,1
adobo,macaroni,0,0,3
adobo,mace,0,0,0
adobo,mango,0,0,2
adobo,mangoes,0,0,0
adobo,margarine,0,0,2
adobo,marinara sauce,0,0,0
adobo,marinated artichoke hearts,0,0,0
adobo,marjoram,0,0,0
adobo,marmalade,0,0,5
adobo,marnier,0,0,0
adobo,marshmallows,0,0,0
adobo,masala,0,0,0
adobo,mayonnaise,0,0,52
adobo,meat,0,0,1
adobo,milk,0,0,18
adobo,mint,0,0,1
adobo,mirin,0,0,0
adobo,"mix""",0,0,0
adobo,molasses,0,0,13
adobo,mushroom,0,0,0
adobo,mushrooms,0,0,10
adobo,mustard,0,0,33
adobo,mustard powder,0,0,3
adobo,nectar,0,0,1
adobo,nonfat dry milk powder,0,0,0
adobo,nonfat sour cream,0,0,2
adobo,nonstick cooking spray,0,0,1
adobo,noodles,0,0,4
adobo,nutmeg,0,0,4
adobo,nuts,0,0,2
adobo,oatmeal,0,0,0
adobo,oats,0,0,0
adobo,oil,0,0,159
adobo,okra,0,0,0
adobo,old bay seasoning,0,0,1
adobo,olive,0,0,6
adobo,onion,0,0,153
adobo,onion powder,0,0,6
adobo,onion soup mix,0,0,0
adobo,onions,0,0,42
adobo,orange,0,0,7
adobo,orange juice,0,0,8
adobo,orange peel,0,0,0
adobo,orange rind,0,0,2
adobo,oregano,0,0,41
adobo,oyster sauce,0,0,0
adobo,pancetta,0,0,0
adobo,paprika,0,0,25
adobo,parsley,0,0,17
adobo,parsley flakes,0,0,0
adobo,parsnips,0,0,0
adobo,pasta,0,0,4
adobo,pasta sauce,0,0,0
adobo,paste,0,0,24
adobo,pastry,0,0,0
adobo,pea,0,0,0
adobo,peaches,0,0,3
adobo,peanuts,0,0,1
adobo,pear,0,0,0
adobo,pears,0,0,0
adobo,peas,0,0,2
adobo,pecans,0,0,5
adobo,pectin,0,0,1
adobo,penne,0,0,0
adobo,pepper,0,0,193
adobo,peppercorn,0,0,0
adobo,peppercorns,0,0,2
adobo,pepperoni,0,0,0
adobo,pesto sauce,0,0,0
adobo,pickle,0,0,0
adobo,pickles,0,0,0
adobo,pie crust,0,0,1
adobo,pimiento,0,0,0
adobo,pineapple,0,0,3
adobo,pineapple juice,0,0,1
adobo,pistachios,0,0,0
adobo,pizza sauce,0,0,1
adobo,pods,0,0,0
adobo,popcorn,0,0,0
adobo,pork,0,0,3
adobo,potato,0,0,3
adobo,potatoes,0,0,27
adobo,poultry seasoning,0,0,0
adobo,prawns,0,0,0
adobo,preserves,0,0,4
adobo,prosciutto,0,0,0
adobo,pudding,0,0,0
adobo,pumpkin,0,0,2
adobo,pure vanilla extract,0,0,0
adobo,puree,0,0,4
adobo,quinoa,0,0,1
adobo,radish,0,0,1
adobo,radishes,0,0,2
adobo,raisin,0,0,3
adobo,ranch dressing,0,0,4
adobo,raspberries,0,0,3
