source,target,isSourceSelected,isTargetSelected,frequency
potatoes,bananas,1,1,1964
potatoes,strawberries,1,1,750
potatoes,chicken,1,0,3293
potatoes,pork,1,0,2872
potatoes,salt,1,0,823
potatoes,milk,1,0,2882
potatoes,pepper,1,0,449
potatoes,pizza,1,0,2710
potatoes,beans,1,0,1433
potatoes,chocolate,1,0,2952
potatoes,steak,1,0,601
potatoes,cream,1,0,2565
potatoes,sugar,1,0,1716
potatoes,tea,1,0,455
potatoes,coffee,1,0,3057
potatoes,egg,1,0,1038
potatoes,beer,1,0,1448
potatoes,rib,1,0,2238
bananas,strawberries,1,1,2113
bananas,chicken,1,0,2268
bananas,pork,1,0,765
bananas,salt,1,0,3616
bananas,milk,1,0,33
bananas,pepper,1,0,1155
bananas,pizza,1,0,3819
bananas,beans,1,0,2582
bananas,chocolate,1,0,1064
bananas,steak,1,0,1290
bananas,cream,1,0,362
bananas,sugar,1,0,995
bananas,tea,1,0,1533
bananas,coffee,1,0,3203
bananas,egg,1,0,594
bananas,beer,1,0,2669
bananas,rib,1,0,3260
strawberries,chicken,1,0,2669
strawberries,pork,1,0,669
strawberries,salt,1,0,2681
strawberries,milk,1,0,1650
strawberries,pepper,1,0,1395
strawberries,pizza,1,0,2548
strawberries,beans,1,0,1674
strawberries,chocolate,1,0,1682
strawberries,steak,1,0,528
strawberries,cream,1,0,2606
strawberries,sugar,1,0,745
strawberries,tea,1,0,3530
strawberries,coffee,1,0,2271
strawberries,egg,1,0,908
strawberries,beer,1,0,3160
strawberries,rib,1,0,1906
chicken,pork,0,0,2766
chicken,salt,0,0,3321
chicken,milk,0,0,511
chicken,pepper,0,0,3779
chicken,pizza,0,0,728
chicken,beans,0,0,1275
chicken,chocolate,0,0,3135
chicken,steak,0,0,3465
chicken,cream,0,0,1280
chicken,sugar,0,0,2462
chicken,tea,0,0,3622
chicken,coffee,0,0,217
chicken,egg,0,0,1697
chicken,beer,0,0,1599
chicken,rib,0,0,2693
pork,salt,0,0,1657
pork,milk,0,0,1759
pork,pepper,0,0,1459
pork,pizza,0,0,1735
pork,beans,0,0,3783
pork,chocolate,0,0,2965
pork,steak,0,0,3122
pork,cream,0,0,1694
pork,sugar,0,0,2185
pork,tea,0,0,357
pork,coffee,0,0,2227
pork,egg,0,0,816
pork,beer,0,0,1126
pork,rib,0,0,2264
salt,milk,0,0,1771
salt,pepper,0,0,3118
salt,pizza,0,0,272
salt,beans,0,0,2308
salt,chocolate,0,0,2064
salt,steak,0,0,3225
salt,cream,0,0,2206
salt,sugar,0,0,3607
salt,tea,0,0,2882
salt,coffee,0,0,873
salt,egg,0,0,2223
salt,beer,0,0,3021
salt,rib,0,0,2214
milk,pepper,0,0,41
milk,pizza,0,0,3303
milk,beans,0,0,400
milk,chocolate,0,0,2268
milk,steak,0,0,649
milk,cream,0,0,2929
milk,sugar,0,0,2290
milk,tea,0,0,1099
milk,coffee,0,0,1991
milk,egg,0,0,774
milk,beer,0,0,3506
milk,rib,0,0,38
pepper,pizza,0,0,3902
pepper,beans,0,0,2953
pepper,chocolate,0,0,3023
pepper,steak,0,0,2515
pepper,cream,0,0,3758
pepper,sugar,0,0,2507
pepper,tea,0,0,1712
pepper,coffee,0,0,2460
pepper,egg,0,0,990
pepper,beer,0,0,661
pepper,rib,0,0,1611
pizza,beans,0,0,539
pizza,chocolate,0,0,1514
pizza,steak,0,0,3087
pizza,cream,0,0,3852
pizza,sugar,0,0,232
pizza,tea,0,0,3975
pizza,coffee,0,0,2202
pizza,egg,0,0,944
pizza,beer,0,0,3300
pizza,rib,0,0,3818
beans,chocolate,0,0,3003
beans,steak,0,0,2910
beans,cream,0,0,15
beans,sugar,0,0,2251
beans,tea,0,0,2284
beans,coffee,0,0,2501
beans,egg,0,0,1711
beans,beer,0,0,1422
beans,rib,0,0,3208
chocolate,steak,0,0,2869
chocolate,cream,0,0,344
chocolate,sugar,0,0,2583
chocolate,tea,0,0,2394
chocolate,coffee,0,0,2152
chocolate,egg,0,0,96
chocolate,beer,0,0,2176
chocolate,rib,0,0,3930
steak,cream,0,0,3571
steak,sugar,0,0,3372
steak,tea,0,0,348
steak,coffee,0,0,3142
steak,egg,0,0,2043
steak,beer,0,0,1957
steak,rib,0,0,2665
cream,sugar,0,0,2861
cream,tea,0,0,828
cream,coffee,0,0,1254
cream,egg,0,0,778
cream,beer,0,0,326
cream,rib,0,0,1505
sugar,tea,0,0,841
sugar,coffee,0,0,1006
sugar,egg,0,0,3437
sugar,beer,0,0,3541
sugar,rib,0,0,2221
tea,coffee,0,0,723
tea,egg,0,0,1137
tea,beer,0,0,1206
tea,rib,0,0,700
coffee,egg,0,0,1142
coffee,beer,0,0,3426
coffee,rib,0,0,1182
egg,beer,0,0,2465
egg,rib,0,0,1796
beer,rib,0,0,2877
